Element,Shell Angular Momentum,Exponents,Coefficients
1,0,"3.387000E+01, 5.095000E+00, 1.159000E+00, 3.258000E-01, 1.027000E-01","6.068000E-03, 4.530800E-02, 2.028220E-01, 5.039030E-01, 3.834210E-01"
1,1,"1.407000E+00, 3.880000E-01","1.000000E+00, 0.000000E+00"
1,2,1.057000E+00,1.0000000
2,0,"2.340000E+02, 3.516000E+01, 7.989000E+00, 2.212000E+00, 6.669000E-01, 2.089000E-01","2.587000E-03, 1.953300E-02, 9.099800E-02, 2.720500E-01, 4.780650E-01, 3.077370E-01"
2,1,"3.044000E+00, 7.580000E-01","1.000000E+00, 0.000000E+00"
2,2,1.965000E+00,1.0000000
3,0,"5.988000E+03, 8.989000E+02, 2.059000E+02, 5.924000E+01, 1.987000E+01, 7.406000E+00, 2.930000E+00, 1.189000E+00, 4.798000E-01, 7.509000E-02, 2.832000E-02","1.330000E-04, 1.025000E-03, 5.272000E-03, 2.092900E-02, 6.634000E-02, 1.657750E-01, 3.150380E-01, 3.935230E-01, 1.908700E-01, 5.414000E-03, -1.328000E-03"
3,1,"3.266000E+00, 6.511000E-01, 1.696000E-01, 5.578000E-02, 2.050000E-02","8.630000E-03, 4.753800E-02, 2.097720E-01, 5.285220E-01, 3.827440E-01"
3,2,"1.900000E-01, 7.250000E-02","1.000000E+00, 0.000000E+00"
3,3,1.270000E-01,1.0000000
4,0,"6.863000E+03, 1.030000E+03, 2.347000E+02, 6.656000E+01, 2.169000E+01, 7.734000E+00, 2.916000E+00, 1.130000E+00, 2.577000E-01, 1.101000E-01, 4.409000E-02","2.360000E-04, 1.826000E-03, 9.452000E-03, 3.795700E-02, 1.199650E-01, 2.821620E-01, 4.274040E-01, 2.662780E-01, 1.819300E-02, -7.275000E-03, 1.903000E-03"
4,1,"7.436000E+00, 1.577000E+00, 4.352000E-01, 1.438000E-01, 4.994000E-02","1.073600E-02, 6.285400E-02, 2.481800E-01, 5.236990E-01, 3.534250E-01"
4,2,"3.493000E-01, 1.724000E-01","1.000000E+00, 0.000000E+00"
4,3,3.423000E-01,1.0000000
5,0,"5.473000E+03, 8.209000E+02, 1.868000E+02, 5.283000E+01, 1.708000E+01, 5.999000E+00, 2.208000E+00, 5.879000E-01, 2.415000E-01, 8.610000E-02","5.550000E-04, 4.291000E-03, 2.194900E-02, 8.444100E-02, 2.385570E-01, 4.350720E-01, 3.419550E-01, 3.685600E-02, -9.545000E-03, 2.368000E-03"
5,1,"1.205000E+01, 2.613000E+00, 7.475000E-01, 2.385000E-01, 7.698000E-02","1.311800E-02, 7.989600E-02, 2.772750E-01, 5.042700E-01, 3.536800E-01"
5,2,"6.610000E-01, 1.990000E-01","1.000000E+00, 0.000000E+00"
5,3,4.900000E-01,1.0000000
6,0,"8.236000E+03, 1.235000E+03, 2.808000E+02, 7.927000E+01, 2.559000E+01, 8.997000E+00, 3.319000E+00, 9.059000E-01, 3.643000E-01, 1.285000E-01","5.310000E-04, 4.108000E-03, 2.108700E-02, 8.185300E-02, 2.348170E-01, 4.344010E-01, 3.461290E-01, 3.937800E-02, -8.983000E-03, 2.385000E-03"
6,1,"1.871000E+01, 4.133000E+00, 1.200000E+00, 3.827000E-01, 1.209000E-01","1.403100E-02, 8.686600E-02, 2.902160E-01, 5.010080E-01, 3.434060E-01"
